raceId,year,round,circuitId,name,date,time,url,weather
989,2018,1,1,Australian Grand Prix,2018-03-25,05:10:00,https://en.wikipedia.org/wiki/2018_Australian_Grand_Prix,Parzialmente nuvoloso
990,2018,2,3,Bahrain Grand Prix,2018-04-08,15:10:00,https://en.wikipedia.org/wiki/2018_Bahrain_Grand_Prix,Sereno
991,2018,3,17,Chinese Grand Prix,2018-04-15,06:10:00,https://en.wikipedia.org/wiki/2018_Chinese_Grand_Prix,Soleggiato
992,2018,4,73,Azerbaijan Grand Prix,2018-04-29,12:10:00,https://en.wikipedia.org/wiki/2018_Azerbaijan_Grand_Prix,Nuvoloso
993,2018,5,4,Spanish Grand Prix,2018-05-13,13:10:00,https://en.wikipedia.org/wiki/2018_Spanish_Grand_Prix,Parzialmente nuvoloso
994,2018,6,6,Monaco Grand Prix,2018-05-27,13:10:00,https://en.wikipedia.org/wiki/2018_Monaco_Grand_Prix,Coperto
995,2018,7,7,Canadian Grand Prix,2018-06-10,18:10:00,https://en.wikipedia.org/wiki/2018_Canadian_Grand_Prix,Sereno
996,2018,8,34,French Grand Prix,2018-06-24,14:10:00,https://en.wikipedia.org/wiki/2018_French_Grand_Prix,Parzialmente nuvoloso
997,2018,9,70,Austrian Grand Prix,2018-07-01,13:10:00,https://en.wikipedia.org/wiki/2018_Austrian_Grand_Prix,Sereno
998,2018,10,9,British Grand Prix,2018-07-08,13:10:00,https://en.wikipedia.org/wiki/2018_British_Grand_Prix,Soleggiato
999,2018,11,10,German Grand Prix,2018-07-22,13:10:00,https://en.wikipedia.org/wiki/2018_German_Grand_Prix,Parzialmente nuvoloso con pioggia nel finale di gara
1000,2018,12,11,Hungarian Grand Prix,2018-07-29,13:10:00,https://en.wikipedia.org/wiki/2018_Hungarian_Grand_Prix,Sereno
1001,2018,13,13,Belgian Grand Prix,2018-08-26,13:10:00,https://en.wikipedia.org/wiki/2018_Belgian_Grand_Prix,Parzialmente nuvoloso
1002,2018,14,14,Italian Grand Prix,2018-09-02,13:10:00,https://en.wikipedia.org/wiki/2018_Italian_Grand_Prix,Parzialmente nuvoloso
1003,2018,15,15,Singapore Grand Prix,2018-09-16,12:10:00,https://en.wikipedia.org/wiki/2018_Singapore_Grand_Prix,Sereno
1004,2018,16,71,Russian Grand Prix,2018-09-30,11:10:00,https://en.wikipedia.org/wiki/2018_Russian_Grand_Prix,Parzialmente nuvoloso
1005,2018,17,22,Japanese Grand Prix,2018-10-07,05:10:00,https://en.wikipedia.org/wiki/2018_Japanese_Grand_Prix,Soleggiato
1006,2018,18,69,United States Grand Prix,2018-10-21,18:10:00,https://en.wikipedia.org/wiki/2018_United_States_Grand_Prix,Soleggiato
1007,2018,19,32,Mexican Grand Prix,2018-10-28,19:10:00,https://en.wikipedia.org/wiki/2018_Mexican_Grand_Prix,Parzialmente nuvoloso
1008,2018,20,18,Brazilian Grand Prix,2018-11-11,17:10:00,https://en.wikipedia.org/wiki/2018_Brazilian_Grand_Prix,Parzialmente nuvoloso
1009,2018,21,24,Abu Dhabi Grand Prix,2018-11-25,13:10:00,https://en.wikipedia.org/wiki/2018_Abu_Dhabi_Grand_Prix,Parzialmente nuvoloso
