resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid,status,driverref,constructorref,circuitid,name,year,circuitref,alt,weather,weather_type,total_points_driver,average_col_acc,rankfast,sumpits,points_season,points_circuit,constructor_failures,constructor_failures_driver,constructor_failures_driver_constructor,rank_yrs_exp_driver,rank_exp_driver,rank_wins_driver,rank_run_circuit,rank_quali_wins_driver,driver_failures
23783,989,1,131,44,1,2,2,2,18,58,5.036,5378319,54,3,01:26.4,220.845,1,Finished,hamilton,mercedes,1,Australian Grand Prix,2018,albert_park,10,Parzialmente nuvoloso,2,1,0.01,5,2,3,3,6,1,5,2,3,1,3,1,4
23804,990,1,131,44,9,3,3,3,15,57,6.512,5528452,57,2,01:34.0,207.371,1,Finished,hamilton,mercedes,3,Bahrain Grand Prix,2018,bahrain,7,Sereno,1,1,0.01,3,2,3,3,6,0,5,2,3,1,2,1,0
23825,991,1,131,44,4,4,4,4,12,56,16.985,5753365,0,4,01:36.9,202.559,1,Finished,hamilton,mercedes,17,Chinese Grand Prix,2018,shanghai,5,Soleggiato,1,1,0.01,0,8,3,2,3,0,5,2,3,1,3,1,3
23842,992,1,131,44,2,1,1,1,25,51,43:44.3,6224291,47,2,01:45.4,205.012,1,Finished,hamilton,mercedes,73,Azerbaijan Grand Prix,2018,BAK,-7,Nuvoloso,2,1,0.01,9,4,3,2,3,0,5,2,3,1,1,1,0
23862,993,1,131,44,1,1,1,1,25,66,35:30.0,5729972,48,3,01:19.1,211.77,1,Finished,hamilton,mercedes,4,Spanish Grand Prix,2018,catalunya,109,Parzialmente nuvoloso,2,1,0.01,1,7,2,2,3,0,5,2,3,1,3,1,4
23884,994,1,131,44,3,3,3,3,15,78,17.013,6191820,41,8,01:16.3,157.508,1,Finished,hamilton,mercedes,6,Monaco Grand Prix,2018,monaco,7,Coperto,2,1,0.01,2,5,2,2,3,0,5,2,3,1,3,1,0
23906,995,1,131,44,4,5,5,5,10,68,21.559,5332936,50,6,01:14.2,211.633,1,Finished,hamilton,mercedes,7,Canadian Grand Prix,2018,villeneuve,13,Sereno,1,1,0.01,2,4,3,2,3,1,5,2,3,1,2,1,3
23922,996,1,131,44,1,1,1,1,25,53,30:11.4,5411385,45,5,01:34.5,222.531,1,Finished,hamilton,mercedes,34,French Grand Prix,2018,ricard,432,Parzialmente nuvoloso,2,1,0.01,6,5,3,2,3,0,5,2,3,1,1,1,0
23957,997,1,131,44,2,,R,16,0,62,\N,,31,3,01:07.2,231.18,32,Fuel pressure,hamilton,mercedes,70,Austrian Grand Prix,2018,red_bull_ring,678,Sereno,1,1,0.01,5,2,3,3,3,1,5,2,3,1,1,1,0
23963,998,1,131,44,1,2,2,2,18,52,2.264,5252048,39,3,01:31.2,232.424,1,Finished,hamilton,mercedes,9,British Grand Prix,2018,silverstone,153,Soleggiato,1,1,0.01,5,8,3,3,3,0,5,2,3,1,3,1,0
23983,999,1,131,44,14,1,1,1,25,67,32:29.8,5549845,44,1,01:15.5,217.968,1,Finished,hamilton,mercedes,10,German Grand Prix,2018,hockenheimring,103,Parzialmente nuvoloso con pioggia nel finale di gara,3,1,0.01,1,4,2,3,3,0,5,2,3,1,3,1,0
