resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid,status,driverref,constructorref,circuitid,name,year,circuitref,alt,weather,weather_type,total_points_driver,average_col_acc,rankfast,sumpits,points_season,points_circuit,constructor_failures,constructor_failures_driver,constructor_failures_driver_constructor,rank_yrs_exp_driver,rank_exp_driver,rank_wins_driver,run_circuit,rank_run_circuit,rank_quali_wins_driver
23860,992,839,10,31,7,,R,19,0.0,0,\N,,0,0,\N,\N,4,Collision,ocon,force_india,73,Azerbaijan Grand Prix,2018,BAK,-7.0,Nuvoloso,2,904.0,0.07,0,2.0,111.0,15.0,0.0,1.0,0.4750593824228029,14.0,17.0,10.0,3,452.0,15.0
25085,1057,839,214,31,12,,R,20,0.0,3,\N,,2,20,1:50.850,194.955,101,Turbo,ocon,alpine,73,Azerbaijan Grand Prix,2021,BAK,-7.0,Sereno,1,904.0,0.07,20,4.0,155.0,8.0,1.0,1.0,4.545454545454546,14.0,17.0,10.0,3,452.0,15.0
23844,992,815,10,11,8,3.0,3,3,15.0,51,+4.024,6228315.0,51,6,1:46.206,203.480,1,Finished,perez,force_india,73,Azerbaijan Grand Prix,2018,BAK,-7.0,Nuvoloso,2,486.0,0.03,6,2.0,111.0,15.0,0.0,0.0,1.4251781472684086,5.0,5.0,8.0,5,317.0,3.0
25066,1057,815,9,11,6,1.0,1,1,25.0,51,2:13:36.410,8016410.0,45,2,1:44.687,206.432,1,Finished,perez,red_bull,73,Azerbaijan Grand Prix,2021,BAK,-7.0,Sereno,1,486.0,0.03,2,4.0,585.5,37.0,1.0,0.0,0.15479876160990713,5.0,5.0,8.0,5,317.0,3.0
24268,1013,815,211,11,5,6.0,6,6,8.0,51,+1:16.416,5589358.0,49,7,1:45.524,204.795,1,Finished,perez,racing_point,73,Azerbaijan Grand Prix,2019,BAK,-7.0,Sereno,1,486.0,0.03,7,2.0,73.0,10.0,0.0,0.0,3.9473684210526314,5.0,5.0,8.0,5,317.0,3.0
23792,989,815,10,11,12,11.0,11,11,0.0,58,+46.817,5420100.0,51,11,1:27.633,217.849,1,Finished,perez,force_india,1,Australian Grand Prix,2018,albert_park,10.0,Parzialmente nuvoloso,2,486.0,0.03,11,2.0,111.0,0.0,0.4132231404958678,0.0,1.4251781472684086,5.0,5.0,8.0,9,93.0,3.0
24215,1010,815,211,11,10,13.0,13,13,0.0,57,\N,,41,15,1:28.485,215.751,11,+1 Lap,perez,racing_point,1,Australian Grand Prix,2019,albert_park,10.0,Sereno,1,486.0,0.03,15,2.0,73.0,2.0,0.0,0.0,3.9473684210526314,5.0,5.0,8.0,9,93.0,3.0
23793,989,839,10,31,14,12.0,12,12,0.0,58,+1:00.278,5433561.0,57,10,1:27.600,217.931,1,Finished,ocon,force_india,1,Australian Grand Prix,2018,albert_park,10.0,Parzialmente nuvoloso,2,904.0,0.07,10,2.0,111.0,0.0,0.4132231404958678,0.0,0.4750593824228029,14.0,17.0,10.0,2,456.0,15.0
23811,990,839,10,31,8,10.0,10,10,1.0,56,\N,,38,12,1:35.043,204.993,11,+1 Lap,ocon,force_india,3,Bahrain Grand Prix,2018,bahrain,7.0,Sereno,1,904.0,0.07,12,4.0,111.0,1.0,0.0,0.0,0.4750593824228029,14.0,17.0,10.0,5,247.0,15.0
24914,1045,839,4,31,7,9.0,9,9,2.0,57,+22.803,10810318.0,37,13,1:34.354,206.490,1,Finished,ocon,renault,3,Bahrain Grand Prix,2020,bahrain,7.0,Sereno,1,904.0,0.07,13,6.0,181.0,44.0,1.891891891891892,0.0,0.5312084993359893,14.0,17.0,10.0,5,247.0,15.0
