,constructorId,positionOrder,count
0,1,1,1
1,1,2,2
2,1,3,5
3,1,4,7
4,1,5,18
5,1,6,13
6,1,7,14
7,1,8,17
8,1,9,10
9,1,10,8
10,1,11,10
11,1,12,9
12,1,13,9
13,1,14,7
14,1,15,6
15,1,16,5
16,1,17,1
17,1,18,7
18,1,19,5
19,1,20,8
20,3,2,1
21,3,7,1
22,3,8,2
23,3,9,3
24,3,10,3
25,3,11,8
26,3,12,9
27,3,13,6
28,3,14,19
29,3,15,17
30,3,16,29
31,3,17,24
32,3,18,18
33,3,19,15
34,3,20,7
35,4,2,1
36,4,3,2
37,4,4,4
38,4,5,6
39,4,6,11
40,4,7,11
41,4,8,14
42,4,9,9
43,4,10,8
44,4,11,6
45,4,12,9
46,4,13,5
47,4,14,7
48,4,15,1
49,4,16,1
50,4,17,3
51,4,18,4
52,4,19,9
53,4,20,7
54,5,2,1
55,5,3,1
56,5,4,1
57,5,6,2
58,5,7,4
59,5,8,2
60,5,9,8
61,5,10,9
62,5,11,9
63,5,12,8
64,5,13,4
65,5,14,8
66,5,15,5
67,5,16,2
68,5,17,4
69,5,18,3
70,5,19,9
71,5,20,4
72,6,1,9
73,6,2,17
74,6,3,25
75,6,4,22
76,6,5,16
77,6,6,13
78,6,7,8
79,6,8,9
80,6,10,7
81,6,11,4
82,6,12,3
83,6,13,5
84,6,14,2
85,6,15,1
86,6,16,2
87,6,17,4
88,6,18,6
89,6,19,2
90,6,20,7
91,9,1,20
92,9,2,20
93,9,3,18
94,9,4,23
95,9,5,17
96,9,6,14
97,9,7,2
98,9,8,6
99,9,9,3
100,9,10,2
101,9,11,2
102,9,12,1
103,9,13,1
104,9,14,2
105,9,15,4
106,9,16,4
107,9,17,9
108,9,18,4
109,9,19,5
110,9,20,5
111,10,3,1
112,10,5,1
113,10,6,4
114,10,7,5
115,10,8,3
116,10,9,4
117,10,10,4
118,10,11,3
119,10,12,3
120,10,13,1
121,10,14,2
122,10,15,1
123,10,16,3
124,10,17,1
125,10,18,2
126,10,19,3
127,10,20,1
128,15,6,1
129,15,7,4
130,15,9,5
131,15,10,6
132,15,11,4
133,15,12,2
134,15,13,4
135,15,15,5
136,15,16,1
137,15,18,5
138,15,19,3
139,15,20,2
140,51,4,1
141,51,5,1
142,51,7,3
143,51,8,4
144,51,9,7
145,51,10,8
146,51,11,12
147,51,12,11
148,51,13,12
149,51,14,16
150,51,15,18
151,51,16,9
152,51,17,7
153,51,18,6
154,51,19,3
155,51,20,2
156,117,2,1
157,117,5,2
158,117,6,1
159,117,7,2
160,117,8,4
161,117,9,2
162,117,10,4
163,117,11,5
164,117,12,5
165,117,13,5
166,117,14,2
167,117,15,2
168,117,16,1
169,117,17,1
170,117,18,1
171,117,19,3
172,117,20,3
173,131,1,48
174,131,2,37
175,131,3,25
176,131,4,11
177,131,5,12
178,131,6,2
179,131,7,4
180,131,8,4
181,131,9,2
182,131,11,1
183,131,12,2
184,131,14,2
185,131,15,3
186,131,16,2
187,131,17,1
188,131,18,1
189,131,19,3
190,131,20,2
191,210,4,1
192,210,5,2
193,210,6,4
194,210,7,4
195,210,8,5
196,210,9,5
197,210,10,6
198,210,11,6
199,210,12,7
200,210,13,14
201,210,14,7
202,210,15,12
203,210,16,19
204,210,17,21
205,210,18,20
206,210,19,12
207,210,20,16
208,211,1,1
209,211,2,1
210,211,3,2
211,211,4,5
212,211,5,2
213,211,6,6
214,211,7,8
215,211,8,3
216,211,9,8
217,211,10,6
218,211,11,3
219,211,12,6
220,211,13,7
221,211,14,2
222,211,15,1
223,211,16,1
224,211,17,2
225,211,18,2
226,211,19,4
227,211,20,6
228,213,1,1
229,213,3,1
230,213,4,4
231,213,5,3
232,213,6,7
233,213,7,8
234,213,8,3
235,213,9,6
236,213,10,6
237,213,11,7
238,213,12,6
239,213,13,4
240,213,14,2
241,213,15,5
242,213,16,1
243,213,17,2
244,213,18,1
245,213,19,3
246,213,20,8
247,214,1,1
248,214,3,1
249,214,4,2
250,214,5,1
251,214,6,3
252,214,7,3
253,214,8,5
254,214,9,9
255,214,10,4
256,214,11,1
257,214,13,4
258,214,14,3
259,214,16,1
260,214,17,1
261,214,18,1
262,214,19,2
263,214,20,2
