,constructorId,positionOrder,year,sumpoints
218,6,17,2018,0.0
298,10,16,2018,0.0
297,10,15,2018,0.0
119,4,8,2018,20.0
296,10,14,2018,0.0
295,10,13,2018,0.0
122,4,9,2018,6.0
294,10,12,2018,0.0
293,10,11,2018,0.0
125,4,10,2018,4.0
292,10,10,2018,4.0
291,10,9,2018,8.0
128,4,11,2018,0.0
290,10,8,2018,12.0
289,10,7,2018,30.0
131,4,12,2018,0.0
288,10,6,2018,32.0
133,4,13,2018,0.0
116,4,7,2018,24.0
287,10,5,2018,10.0
299,10,17,2018,0.0
113,4,6,2018,48.0
94,3,18,2018,0.0
314,15,20,2018,0.0
313,15,19,2018,0.0
98,3,19,2018,0.0
312,15,18,2018,0.0
311,15,16,2018,0.0
310,15,15,2018,0.0
309,15,13,2018,0.0
308,15,12,2018,0.0
307,15,11,2018,0.0
306,15,10,2018,6.0
305,15,9,2018,10.0
304,15,7,2018,24.0
303,15,6,2018,8.0
110,4,5,2018,20.0
302,10,20,2018,0.0
301,10,19,2018,0.0
300,10,18,2018,0.0
286,10,3,2018,15.0
282,9,20,2018,0.0
140,4,17,2018,0.0
249,9,6,2018,24.0
177,5,19,2018,0.0
179,5,20,2018,0.0
180,6,1,2018,150.0
182,6,2,2018,126.0
245,9,5,2018,50.0
241,9,4,2018,96.0
186,6,3,2018,165.0
237,9,3,2018,75.0
190,6,4,2018,72.0
233,9,2,2018,72.0
229,9,1,2018,100.0
194,6,5,2018,30.0
224,6,19,2018,0.0
198,6,6,2018,24.0
220,6,18,2018,0.0
436,210,13,2018,0.0
175,5,18,2018,0.0
173,5,17,2018,0.0
171,5,16,2018,0.0
169,5,15,2018,0.0
279,9,19,2018,0.0
142,4,18,2018,0.0
276,9,18,2018,0.0
145,4,19,2018,0.0
148,4,20,2018,0.0
272,9,17,2018,0.0
270,9,16,2018,0.0
152,5,4,2018,12.0
90,3,17,2018,0.0
153,5,6,2018,8.0
267,9,15,2018,0.0
158,5,9,2018,4.0
160,5,10,2018,3.0
162,5,11,2018,0.0
164,5,12,2018,0.0
258,9,9,2018,2.0
166,5,13,2018,0.0
167,5,14,2018,0.0
155,5,7,2018,6.0
86,3,16,2018,0.0
102,3,20,2018,0.0
447,210,16,2018,0.0
396,131,8,2018,4.0
33,1,12,2018,0.0
392,131,7,2018,6.0
36,1,13,2018,0.0
40,1,14,2018,0.0
387,131,5,2018,70.0
30,1,11,2018,0.0
43,1,15,2018,0.0
46,1,16,2018,0.0
379,131,3,2018,60.0
48,1,17,2018,0.0
49,1,18,2018,0.0
451,210,17,2018,0.0
52,1,19,2018,0.0
383,131,4,2018,60.0
375,131,2,2018,180.0
403,131,14,2018,0.0
443,210,15,2018,0.0
432,210,12,2018,0.0
430,210,11,2018,0.0
427,210,10,2018,3.0
8,1,5,2018,10.0
424,210,9,2018,6.0
422,210,8,2018,16.0
407,131,16,2018,0.0
420,210,7,2018,12.0
418,210,6,2018,24.0
417,210,5,2018,20.0
416,210,4,2018,12.0
19,1,8,2018,24.0
411,131,19,2018,0.0
23,1,9,2018,4.0
15,1,7,2018,24.0
56,1,20,2018,0.0
204,6,8,2018,4.0
455,210,18,2018,0.0
371,131,1,2018,275.0
72,3,12,2018,0.0
78,3,14,2018,0.0
82,3,15,2018,0.0
68,3,11,2018,0.0
65,3,10,2018,1.0
63,3,9,2018,2.0
76,3,13,2018,0.0
462,210,20,2018,0.0
61,3,8,2018,4.0
316,51,5,2019,10.0
433,210,12,2019,0.0
493,211,20,2019,0.0
478,211,9,2019,10.0
315,51,4,2019,12.0
332,51,13,2019,0.0
250,9,6,2019,57.0
221,6,18,2019,0.0
253,9,7,2019,6.0
414,131,20,2019,0.0
255,9,8,2019,12.0
440,210,14,2019,0.0
216,6,16,2019,0.0
491,211,19,2019,0.0
419,210,6,2019,8.0
335,51,14,2019,0.0
317,51,7,2019,18.0
421,210,7,2019,12.0
323,51,10,2019,3.0
226,6,20,2019,0.0
428,210,10,2019,2.0
320,51,9,2019,6.0
230,9,1,2019,77.0
425,210,9,2019,2.0
246,9,5,2019,71.0
431,210,11,2019,0.0
234,9,2,2019,37.0
329,51,12,2019,0.0
238,9,3,2019,60.0
219,6,17,2019,0.0
318,51,8,2019,8.0
242,9,4,2019,96.0
482,211,11,2019,0.0
423,210,8,2019,4.0
444,210,15,2019,0.0
338,51,15,2019,0.0
388,131,5,2019,20.0
472,211,6,2019,16.0
484,211,13,2019,0.0
283,9,20,2019,0.0
483,211,12,2019,0.0
384,131,4,2019,37.0
350,51,19,2019,0.0
469,211,4,2019,12.0
380,131,3,2019,92.0
463,210,20,2019,0.0
376,131,2,2019,198.0
459,210,19,2019,0.0
456,210,18,2019,0.0
452,210,17,2019,0.0
372,131,1,2019,380.0
448,210,16,2019,0.0
277,9,18,2019,0.0
326,51,11,2019,0.0
347,51,18,2019,0.0
260,9,10,2019,1.0
262,9,11,2019,0.0
405,131,15,2019,0.0
489,211,17,2019,0.0
212,6,13,2019,0.0
266,9,14,2019,0.0
399,131,9,2019,2.0
476,211,8,2019,8.0
341,51,16,2019,0.0
397,131,8,2019,4.0
474,211,7,2019,24.0
487,211,15,2019,0.0
393,131,7,2019,6.0
344,51,17,2019,0.0
273,9,17,2019,0.0
486,211,14,2019,0.0
488,211,16,2019,0.0
480,211,10,2019,3.0
437,210,13,2019,0.0
183,6,2,2019,126.0
123,4,9,2019,6.0
163,5,11,2019,0.0
12,1,6,2019,48.0
165,5,12,2019,0.0
168,5,14,2019,0.0
170,5,15,2019,0.0
120,4,8,2019,12.0
172,5,16,2019,0.0
73,3,12,2019,0.0
117,4,7,2019,24.0
174,5,17,2019,0.0
176,5,18,2019,0.0
178,5,19,2019,0.0
16,1,7,2019,18.0
181,6,1,2019,75.0
161,5,10,2019,6.0
69,3,11,2019,0.0
159,5,9,2019,12.0
157,5,8,2019,8.0
134,4,13,2019,0.0
138,4,15,2019,0.0
139,4,16,2019,0.0
132,4,12,2019,0.0
141,4,17,2019,0.0
143,4,18,2019,0.0
129,4,11,2019,0.0
146,4,19,2019,0.0
66,3,10,2019,1.0
149,4,20,2019,0.0
150,5,2,2019,18.0
151,5,3,2019,15.0
154,5,6,2019,8.0
126,4,10,2019,3.0
156,5,7,2019,18.0
87,3,16,2019,0.0
114,4,6,2019,24.0
136,4,14,2019,0.0
20,1,8,2019,28.0
34,1,12,2019,0.0
37,1,13,2019,0.0
199,6,6,2019,8.0
24,1,9,2019,4.0
99,3,19,2019,0.0
41,1,14,2019,0.0
91,3,17,2019,0.0
79,3,14,2019,0.0
195,6,5,2019,72.0
103,3,20,2019,0.0
83,3,15,2019,0.0
95,3,18,2019,0.0
31,1,11,2019,0.0
27,1,10,2019,2.0
50,1,18,2019,0.0
191,6,4,2019,87.0
3,1,3,2019,15.0
108,4,4,2019,12.0
53,1,19,2019,0.0
187,6,3,2019,136.0
111,4,5,2019,10.0
57,1,20,2019,0.0
9,1,5,2019,30.0
479,211,9,2020,6.0
327,51,11,2020,0.0
70,3,11,2020,0.0
84,3,15,2020,0.0
330,51,12,2020,0.0
342,51,16,2020,0.0
345,51,17,2020,0.0
473,211,6,2020,32.0
80,3,14,2020,0.0
333,51,13,2020,0.0
