resultId,raceId,driverId,constructorId,pitstops,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rankfast,fastestLapTime,fastestLapSpeed,statusId,status,driverRef,constructorRef,circuitId,name,year,circuitRef,
23783,989,1,131,1,44,1,2,2,2,18,58,5.036,5378319,50,3,01:26.4,220.845,1,Finished,hamilton,mercedes,1,Australian Grand Prix,2018,albert_park,
23804,990,1,131,1,44,9,3,3,3,15,57,6.512,5528452,51,2,01:34.0,207.371,1,Finished,hamilton,mercedes,3,Bahrain Grand Prix,2018,bahrain,
23825,991,1,131,1,44,4,4,4,4,12,56,16.985,5753365,20,4,01:36.9,202.559,1,Finished,hamilton,mercedes,17,Chinese Grand Prix,2018,shanghai,
23842,992,1,131,3,44,2,1,1,1,25,51,43:44.3,6224291,35,2,01:45.4,205.012,1,Finished,hamilton,mercedes,73,Azerbaijan Grand Prix,2018,BAK,
23862,993,1,131,1,44,1,1,1,1,25,66,35:30.0,5729972,64,3,01:19.1,211.77,1,Finished,hamilton,mercedes,4,Spanish Grand Prix,2018,catalunya,
23884,994,1,131,1,44,3,3,3,3,15,78,17.013,6191820,15,8,01:16.3,157.508,1,Finished,hamilton,mercedes,6,Monaco Grand Prix,2018,monaco,
23906,995,1,131,1,44,4,5,5,5,10,68,21.559,5332936,66,6,01:14.2,211.633,1,Finished,hamilton,mercedes,7,Canadian Grand Prix,2018,villeneuve,
23922,996,1,131,1,44,1,1,1,1,25,53,30:11.4,5411385,49,5,01:34.5,222.531,1,Finished,hamilton,mercedes,34,French Grand Prix,2018,ricard,
23957,997,1,131,3,44,2,\N,R,16,0,62,\N,\N,58,3,01:07.2,231.18,32,Fuel pressure,hamilton,mercedes,70,Austrian Grand Prix,2018,red_bull_ring,
23963,998,1,131,1,44,1,2,2,2,18,52,2.264,5252048,52,3,01:31.2,232.424,1,Finished,hamilton,mercedes,9,British Grand Prix,2018,silverstone,
23983,999,1,131,1,44,14,1,1,1,25,67,32:29.8,5549845,66,1,01:15.5,217.968,1,Finished,hamilton,mercedes,10,German Grand Prix,2018,hockenheimring,
24003,1000,1,131,1,44,1,1,1,1,25,70,37:16.4,5836427,63,4,01:21.1,194.454,1,Finished,hamilton,mercedes,11,Hungarian Grand Prix,2018,hungaroring,
24024,1001,1,131,3,44,1,2,2,2,18,44,11.061,5025537,23,3,01:46.7,236.264,1,Finished,hamilton,mercedes,13,Belgian Grand Prix,2018,spa,
24043,1002,1,131,1,44,3,1,1,1,25,53,16:54.5,4614484,30,1,01:22.5,252.794,1,Finished,hamilton,mercedes,14,Italian Grand Prix,2018,monza,
24063,1003,1,131,1,44,1,1,1,1,25,61,51:11.6,6671611,56,2,01:42.9,177.108,1,Finished,hamilton,mercedes,15,Singapore Grand Prix,2018,marina_bay,
24083,1004,1,131,1,44,2,1,1,1,25,53,27:25.2,5245181,50,2,01:35.9,219.492,1,Finished,hamilton,mercedes,71,Russian Grand Prix,2018,sochi,
24103,1005,1,131,1,44,1,1,1,1,25,53,27:17.1,5237062,51,2,01:32.8,225.307,1,Finished,hamilton,mercedes,22,Japanese Grand Prix,2018,suzuka,
24125,1006,1,131,3,44,1,3,3,3,15,56,2.342,5660985,40,1,01:37.4,203.782,1,Finished,hamilton,mercedes,69,United States Grand Prix,2018,americas,
24146,1007,1,131,3,44,3,4,4,4,12,71,+1:18.738,5987589,49,8,01:20.7,191.933,1,Finished,hamilton,mercedes,32,Mexican Grand Prix,2018,rodriguez,
24163,1008,1,131,1,44,1,1,1,1,25,71,27:09.1,5229066,70,7,01:11.8,216.065,1,Finished,hamilton,mercedes,18,Brazilian Grand Prix,2018,interlagos,
24183,1009,1,131,1,44,1,1,1,1,25,55,39:40.4,5980382,53,5,01:41.4,197.267,1,Finished,hamilton,mercedes,24,Abu Dhabi Grand Prix,2018,yas_marina,
24204,1010,1,131,1,44,1,2,2,2,18,58,20.886,5148211,57,2,01:26.1,221.839,1,Finished,hamilton,mercedes,1,Australian Grand Prix,2019,albert_park,
24223,1011,1,131,3,44,3,1,1,1,25,57,34:21.3,5661295,36,2,01:33.5,208.314,1,Finished,hamilton,mercedes,3,Bahrain Grand Prix,2019,bahrain,
24243,1012,1,131,3,44,2,1,1,1,25,56,32:06.4,5526350,47,5,01:35.9,204.642,1,Finished,hamilton,mercedes,17,Chinese Grand Prix,2019,shanghai,
24264,1013,1,131,1,44,2,2,2,2,18,51,1.524,5514466,48,3,01:44.2,207.465,1,Finished,hamilton,mercedes,73,Azerbaijan Grand Prix,2019,BAK,
