resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid,status,driverref,constructorref,circuitid,name,year,circuitref,alt,weather,weather_type,total_points_driver,average_col_acc,rankfast,sumpits,points_season,points_circuit,constructor_failures,constructor_failures_driver,constructor_failures_driver_constructor,rank_yrs_exp_driver,rank_exp_driver,rank_wins_driver,rank_run_circuit,rank_quali_wins_driver,driver_failures
24207,1010,844,6,16,5,5,5,5,10,58,58.203,5185528,57,4,01:26.9,219.621,1,Finished,leclerc,ferrari,1,Australian Grand Prix,2019,albert_park,10,Sereno,1,5,0.1,2,2,1,1,7,1,3,8,18,8,11,7,0
24225,1011,844,6,16,1,3,3,3,16,57,6.131,5667426,36,1,01:33.4,208.575,1,Finished,leclerc,ferrari,3,Bahrain Grand Prix,2019,bahrain,7,Sereno,1,5,0.1,2,4,1,1,0,0,3,8,18,8,9,7,2
24247,1012,844,6,16,4,5,5,5,10,56,31.276,5557626,47,3,01:34.9,206.869,1,Finished,leclerc,ferrari,17,Chinese Grand Prix,2019,shanghai,5,Nuvoloso,2,5,0.1,5,4,1,1,2,0,3,8,18,8,10,7,0
24267,1013,844,6,16,8,5,5,5,11,51,+1:09.107,5582049,48,1,01:43.0,209.795,1,Finished,leclerc,ferrari,73,Azerbaijan Grand Prix,2019,BAK,-7,Sereno,1,5,0.1,3,2,1,2,0,0,3,8,18,8,3,7,0
24287,1014,844,6,16,5,5,5,5,10,66,13.361,5763804,54,5,01:20.0,209.469,1,Finished,leclerc,ferrari,4,Spanish Grand Prix,2019,catalunya,109,Sereno,1,5,0.1,1,4,1,1,9,0,3,8,18,8,11,7,0
24325,1015,844,6,16,15,,R,20,0,16,\N,,9,20,01:19.2,151.775,4,Collision,leclerc,ferrari,6,Monaco Grand Prix,2019,monaco,7,Nuvoloso con pioggia leggera,3,5,0.1,6,3,1,2,11,0,3,8,18,8,11,7,4
24328,1016,844,6,16,3,3,3,3,15,70,4.696,5351780,62,2,01:14.4,211.14,1,Finished,leclerc,ferrari,7,Canadian Grand Prix,2019,villeneuve,13,Sereno,1,5,0.1,4,3,1,1,12,1,3,8,18,8,10,7,0
24348,1017,844,6,16,3,3,3,3,15,53,18.985,5090183,53,4,01:33.8,224.146,1,Finished,leclerc,ferrari,34,French Grand Prix,2019,ricard,432,Sereno,1,5,0.1,2,2,1,1,0,0,3,8,18,8,1,7,0
24367,1018,844,6,16,1,2,2,2,18,71,2.724,4924546,69,3,01:08.0,228.62,1,Finished,leclerc,ferrari,70,Austrian Grand Prix,2019,red_bull_ring,678,Sereno,1,5,0.1,5,2,1,1,3,1,3,8,18,8,5,7,2
24388,1019,844,6,16,3,3,3,3,15,52,30.117,4898569,52,5,01:29.3,237.452,1,Finished,leclerc,ferrari,9,British Grand Prix,2019,silverstone,153,Parzialmente nuvoloso,2,5,0.1,1,3,1,1,12,0,3,8,18,8,11,7,0
24422,1020,844,6,16,10,,R,17,0,27,\N,,64,16,01:27.7,187.764,3,Accident,leclerc,ferrari,10,German Grand Prix,2019,hockenheimring,103,"Piovoso ad inizio gara, nuvoloso nel finale",3,5,0.1,12,9,1,1,0,0,3,8,18,8,8,7,3
24429,1021,844,6,16,4,4,4,4,12,70,+1:05.250,5769046,60,5,01:20.5,195.937,1,Finished,leclerc,ferrari,11,Hungarian Grand Prix,2019,hungaroring,264,Sereno,1,5,0.1,2,4,1,1,8,1,3,8,18,8,9,7,4
24446,1022,844,6,16,1,1,1,1,25,44,23:45.7,5025710,24,4,01:46.7,236.39,1,Finished,leclerc,ferrari,13,Belgian Grand Prix,2019,spa,401,Parzialmente nuvoloso,2,5,0.1,3,2,1,1,12,0,3,8,18,8,10,7,4
24466,1023,844,6,16,1,1,1,1,25,53,15:26.7,4526665,51,4,01:23.0,251.235,1,Finished,leclerc,ferrari,14,Italian Grand Prix,2019,monza,162,Parzialmente nuvoloso,2,5,0.1,1,3,1,1,14,0,3,8,18,8,8,7,4
24487,1024,844,6,16,1,2,2,2,18,61,2.641,7116308,58,4,01:44.7,174.047,1,Finished,leclerc,ferrari,15,Singapore Grand Prix,2019,marina_bay,18,Sereno,1,5,0.1,7,2,1,2,0,1,3,8,18,8,9,7,0
24508,1025,844,6,16,1,3,3,3,15,53,5.212,5624204,51,2,01:36.2,218.86,1,Finished,leclerc,ferrari,71,Russian Grand Prix,2019,sochi,2,Parzialmente nuvoloso,2,5,0.1,1,2,1,1,0,0,3,8,18,8,5,7,0
24531,1026,844,6,16,2,6,6,6,8,51,\N,,45,2,01:31.6,228.195,11,+1 Lap,leclerc,ferrari,22,Japanese Grand Prix,2019,suzuka,45,Sereno,1,5,0.1,1,4,1,1,9,0,3,8,18,8,8,7,0
24549,1027,844,6,16,1,4,4,4,13,71,6.368,5815272,66,1,01:19.2,195.557,1,Finished,leclerc,ferrari,32,Mexican Grand Prix,2019,rodriguez,2227,Parzialmente nuvoloso,2,5,0.1,4,2,1,3,0,0,3,8,18,8,4,7,0
24569,1028,844,6,16,4,4,4,4,13,56,52.239,5687892,26,1,01:36.2,206.374,1,Finished,leclerc,ferrari,69,United States Grand Prix,2019,americas,161,Sereno,1,5,0.1,7,3,1,1,0,0,3,8,18,8,6,7,2
24603,1029,844,6,16,14,18,18,18,0,65,\N,,46,6,01:11.4,217.19,4,Collision,leclerc,ferrari,18,Brazilian Grand Prix,2019,interlagos,785,Sereno,1,5,0.1,3,5,1,2,8,1,3,8,18,8,10,7,4
24608,1030,844,6,16,3,3,3,3,15,55,43.435,5689150,53,4,01:40.4,199.064,1,Finished,leclerc,ferrari,24,Abu Dhabi Grand Prix,2019,yas_marina,3,Sereno,1,5,0.1,1,2,1,1,0,1,3,8,18,8,7,7,0
24627,1031,844,6,16,7,2,2,2,18,71,2.7,5458439,67,4,01:07.9,228.933,1,Finished,leclerc,ferrari,70,Austrian Grand Prix,2020,red_bull_ring,678,Sereno,1,5,0.1,3,4,1,1,3,1,3,8,18,8,5,7,2
24664,1032,844,6,16,14,,R,19,0,4,\N,,68,19,01:35.4,162.979,130,Collision damage,leclerc,ferrari,70,Styrian Grand Prix,2020,red_bull_ring,678,Parzialmente nuvoloso,2,5,0.1,3,2,1,1,3,1,3,8,18,8,5,7,2
24676,1033,844,6,16,6,11,11,11,0,69,\N,,70,16,01:20.8,195.142,11,+1 Lap,leclerc,ferrari,11,Hungarian Grand Prix,2020,hungaroring,264,Parzialmente nuvoloso,2,5,0.1,1,6,1,1,8,1,3,8,18,8,9,7,4
