resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid,status,driverref,constructorref,circuitid,name,year,circuitref,alt,weather,weather_type,total_points_driver,average_col_acc,rankfast,sumpits,points_season,points_circuit,constructor_failures,constructor_failures_driver,constructor_failures_driver_constructor,rank_yrs_exp_driver,rank_exp_driver,rank_wins_driver,rank_run_circuit,rank_quali_wins_driver,driver_failures
24633,1031,839,4,31,14,8,8,8,4,71,17.456,5473195,67,10,01:08.9,225.509,1,Finished,ocon,renault,70,Austrian Grand Prix,2020,red_bull_ring,678,Sereno,1,13,0.07,3,4,1,1,3,1,3,7,16,9,5,10,2
24663,1032,839,4,31,5,,R,18,0,25,\N,,68,18,01:09.3,224.243,25,Overheating,ocon,renault,70,Styrian Grand Prix,2020,red_bull_ring,678,Parzialmente nuvoloso,2,13,0.07,3,2,1,1,3,1,3,7,16,9,5,10,2
24679,1033,839,4,31,14,14,14,14,0,69,\N,,70,13,01:20.3,196.503,11,+1 Lap,ocon,renault,11,Hungarian Grand Prix,2020,hungaroring,264,Parzialmente nuvoloso,2,13,0.07,1,6,1,1,8,1,3,7,16,9,9,10,0
24738,1036,839,4,31,15,13,13,13,0,65,\N,,63,10,01:22.2,203.933,11,+1 Lap,ocon,renault,4,Spanish Grand Prix,2020,catalunya,109,Parzialmente nuvoloso,2,13,0.07,2,5,1,1,9,0,3,7,16,9,11,10,0
24750,1037,839,4,31,6,5,5,5,10,44,40.65,5089411,28,10,01:48.5,232.305,1,Finished,ocon,renault,13,Belgian Grand Prix,2020,spa,401,Parzialmente nuvoloso,2,13,0.07,2,2,1,1,12,0,3,7,16,9,9,10,0
24773,1038,839,4,31,12,8,8,8,4,53,18.691,6444747,34,11,01:24.5,246.831,1,Finished,ocon,renault,14,Italian Grand Prix,2020,monza,162,Sereno,1,13,0.07,1,5,1,1,14,0,3,7,16,9,7,10,0
24799,1039,839,4,31,10,,R,14,0,7,\N,,58,15,02:11.8,143.27,23,Brakes,ocon,renault,76,Tuscan Grand Prix,2020,mugello,255,Sereno,1,13,0.07,1,10,1,1,0,0,3,7,16,9,1,10,0
24812,1040,839,4,31,7,7,7,7,6,53,+1:08.006,5708370,48,13,01:39.2,212.191,1,Finished,ocon,renault,71,Russian Grand Prix,2020,sochi,2,Sereno,1,13,0.07,7,2,1,1,0,0,3,7,16,9,5,10,0
24843,1041,839,4,31,7,,R,18,0,22,\N,,58,19,01:33.2,198.873,6,Gearbox,ocon,renault,20,Eifel Grand Prix,2020,nurburgring,578,Parzialmente nuvoloso,2,13,0.07,2,3,1,1,11,0,3,7,16,9,7,10,0
24853,1042,839,4,31,11,8,8,8,4,65,\N,,63,12,01:20.9,207.16,11,+1 Lap,ocon,renault,75,Portuguese Grand Prix,2020,portimao,108,Nuvoloso,2,13,0.07,1,2,1,1,0,0,3,7,16,9,1,10,0
