resultid,raceid,driverid,constructorid,number,grid,position,positiontext,positionorder,points,laps,time,milliseconds,fastestlap,rank,fastestlaptime,fastestlapspeed,statusid,status,driverref,constructorref,circuitid,name,year,circuitref,alt,weather,weather_type,total_points_driver,average_col_acc,rankfast,sumpits,points_season,points_circuit,constructor_failures,constructor_failures_driver,constructor_failures_driver_constructor,rank_yrs_exp_driver,rank_exp_driver,rank_wins_driver,rank_run_circuit,rank_quali_wins_driver,driver_failures
24215,1010,815,211,11,10,13,13,13,0,57,\N,,57,15,01:28.5,215.751,11,+1 Lap,perez,racing_point,1,Australian Grand Prix,2019,albert_park,10,Sereno,1,7,0.03,2,2,1,1,7,1,3,3,5,8,5,10,4
24232,1011,815,211,11,14,10,10,10,1,57,+1:03.696,5724991,36,14,01:36.3,202.254,1,Finished,perez,racing_point,3,Bahrain Grand Prix,2019,bahrain,7,Sereno,1,7,0.03,2,4,1,1,0,0,3,3,5,8,3,10,0
24250,1012,815,211,11,12,8,8,8,4,55,\N,,47,17,01:38.7,198.816,11,+1 Lap,perez,racing_point,17,Chinese Grand Prix,2019,shanghai,5,Nuvoloso,2,7,0.03,5,4,1,1,2,0,3,3,5,8,4,10,0
24268,1013,815,211,11,5,6,6,6,8,51,+1:16.416,5589358,48,7,01:45.5,204.795,1,Finished,perez,racing_point,73,Azerbaijan Grand Prix,2019,BAK,-7,Sereno,1,7,0.03,3,2,1,2,0,0,3,3,5,8,1,10,0
24297,1014,815,211,11,15,15,15,15,0,66,46.877,5797320,54,16,01:21.9,204.717,1,Finished,perez,racing_point,4,Spanish Grand Prix,2019,catalunya,109,Sereno,1,7,0.03,1,4,1,1,9,0,3,3,5,8,5,10,0
24318,1015,815,211,11,16,12,12,12,0,77,\N,,9,15,01:16.6,156.803,11,+1 Lap,perez,racing_point,6,Monaco Grand Prix,2019,monaco,7,Nuvoloso con pioggia leggera,3,7,0.03,6,3,1,2,11,0,3,3,5,8,5,10,5
24337,1016,815,211,11,15,12,12,12,0,69,\N,,62,13,01:16.3,205.723,11,+1 Lap,perez,racing_point,7,Canadian Grand Prix,2019,villeneuve,13,Sereno,1,7,0.03,4,3,1,1,12,1,3,3,5,8,5,10,4
24357,1017,815,211,11,14,12,12,12,0,52,\N,,53,11,01:35.0,221.348,11,+1 Lap,perez,racing_point,34,French Grand Prix,2019,ricard,432,Sereno,1,7,0.03,2,2,1,1,0,0,3,3,5,8,1,10,0
24376,1018,815,211,11,13,11,11,11,0,70,\N,,69,14,01:09.1,225.087,11,+1 Lap,perez,racing_point,70,Austrian Grand Prix,2019,red_bull_ring,678,Sereno,1,7,0.03,5,2,1,1,3,1,3,3,5,8,1,10,0
24402,1019,815,211,11,15,17,17,17,0,51,\N,,52,7,01:29.5,237.072,11,+1 Lap,perez,racing_point,9,British Grand Prix,2019,silverstone,153,Parzialmente nuvoloso,2,7,0.03,1,3,1,1,12,0,3,3,5,8,7,10,3
24425,1020,815,211,11,8,,R,20,0,1,\N,,64,0,\N,\N,20,Spun off,perez,racing_point,10,German Grand Prix,2019,hockenheimring,103,"Piovoso ad inizio gara, nuvoloso nel finale",3,7,0.03,12,9,1,1,0,0,3,3,5,8,5,10,3
