resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rankfast,fastestLapTime,fastestLapSpeed,statusId,status,driverRef,constructorRef,circuitId,name,year,circuitRef,rank_yrs_exp_driver,rank_wins_driver,rank_quali_wins_driver
23783,989,1,131,44,1,2,2,2,18.0,58,5.036,5378319,50,3,01:26.4,220.845,1,Finished,hamilton,mercedes,1,Australian Grand Prix,2018,albert_park,3.0,1.0,1.0
23784,989,8,6,7,2,3,3,3,15.0,58,6.309,5379592,57,2,01:26.4,221.027,1,Finished,raikkonen,ferrari,1,Australian Grand Prix,2018,albert_park,1.0,4.0,4.0
23782,989,20,6,5,3,1,1,1,25.0,58,29:33.3,5373283,53,4,01:26.5,220.782,1,Finished,vettel,ferrari,1,Australian Grand Prix,2018,albert_park,3.0,2.0,2.0
23787,989,830,9,33,4,6,6,6,8.0,58,28.945,5402228,54,5,01:26.9,219.737,1,Finished,max_verstappen,red_bull,1,Australian Grand Prix,2018,albert_park,10.0,5.0,6.0
23798,989,825,210,20,5,\N,R,17,0.0,22,\N,\N,21,17,01:29.5,213.224,36,Wheel,kevin_magnussen,haas,1,Australian Grand Prix,2018,albert_park,12.0,13.0,13.0
23797,989,154,210,8,6,\N,R,16,0.0,24,\N,\N,23,16,01:28.8,214.974,36,Wheel,grosjean,haas,1,Australian Grand Prix,2018,albert_park,7.0,13.0,13.0
23788,989,807,4,27,7,7,7,7,6.0,58,32.671,5405954,57,9,01:27.1,219.23,1,Finished,hulkenberg,renault,1,Australian Grand Prix,2018,albert_park,7.0,13.0,9.0
23785,989,817,9,3,8,4,4,4,12.0,58,7.069,5380352,54,1,01:25.9,222.128,1,Finished,ricciardo,red_bull,1,Australian Grand Prix,2018,albert_park,5.0,7.0,8.0
23791,989,832,4,55,9,10,10,10,1.0,58,45.722,5419005,51,12,01:27.9,217.079,1,Finished,sainz,renault,1,Australian Grand Prix,2018,albert_park,10.0,13.0,13.0
23786,989,4,1,14,10,5,5,5,10.0,58,27.886,5401169,57,7,01:27.0,219.489,1,Finished,alonso,mclaren,1,Australian Grand Prix,2018,albert_park,1.0,3.0,3.0
23790,989,838,1,2,11,9,9,9,2.0,58,34.921,5408204,57,6,01:27.0,219.54,1,Finished,vandoorne,mclaren,1,Australian Grand Prix,2018,albert_park,23.0,13.0,13.0
23792,989,815,10,11,12,11,11,11,0.0,58,46.817,5420100,51,11,01:27.6,217.849,1,Finished,perez,force_india,1,Australian Grand Prix,2018,albert_park,5.0,8.0,13.0
23795,989,840,3,18,13,14,14,14,0.0,58,+1:18.288,5451571,55,14,01:28.5,215.688,1,Finished,stroll,williams,1,Australian Grand Prix,2018,albert_park,14.0,13.0,9.0
23793,989,839,10,31,14,12,12,12,0.0,58,+1:00.278,5433561,57,10,01:27.6,217.931,1,Finished,ocon,force_india,1,Australian Grand Prix,2018,albert_park,14.0,10.0,13.0
23789,989,822,131,77,15,8,8,8,4.0,58,34.339,5407622,54,8,01:27.0,219.386,1,Finished,bottas,mercedes,1,Australian Grand Prix,2018,albert_park,7.0,6.0,4.0
23796,989,843,5,28,16,15,15,15,0.0,57,\N,\N,57,13,01:28.2,216.507,11,+1 Lap,brendon_hartley,toro_rosso,1,Australian Grand Prix,2018,albert_park,26.0,13.0,13.0
23800,989,828,15,9,17,\N,R,19,0.0,5,\N,\N,4,19,01:32.2,207.036,38,Steering,ericsson,sauber,1,Australian Grand Prix,2018,albert_park,18.0,13.0,13.0
23794,989,844,15,16,18,13,13,13,0.0,58,+1:15.759,5449042,56,15,01:28.8,215.085,1,Finished,leclerc,sauber,1,Australian Grand Prix,2018,albert_park,18.0,8.0,7.0
23801,989,845,3,35,19,\N,R,20,0.0,4,\N,\N,3,20,01:32.6,206.224,23,Brakes,sirotkin,williams,1,Australian Grand Prix,2018,albert_park,30.0,13.0,13.0
23799,989,842,5,10,20,\N,R,18,0.0,13,\N,\N,13,18,01:30.6,210.601,5,Engine,gasly,toro_rosso,1,Australian Grand Prix,2018,albert_park,14.0,10.0,13.0
23802,990,20,6,5,1,1,1,1,25.0,57,32:01.9,5521940,21,7,01:34.5,206.274,1,Finished,vettel,ferrari,3,Bahrain Grand Prix,2018,bahrain,3.0,2.0,2.0
23819,990,8,6,7,2,\N,R,18,0.0,35,\N,\N,22,6,01:34.3,206.527,36,Wheel,raikkonen,ferrari,3,Bahrain Grand Prix,2018,bahrain,1.0,4.0,4.0
23803,990,822,131,77,3,2,2,2,18.0,57,0.699,5522639,22,1,01:33.7,207.842,1,Finished,bottas,mercedes,3,Bahrain Grand Prix,2018,bahrain,7.0,6.0,4.0
23821,990,817,9,3,4,\N,R,20,0.0,1,\N,\N,\N,0,\N,\N,10,Electrical,ricciardo,red_bull,3,Bahrain Grand Prix,2018,bahrain,5.0,7.0,8.0
