resultId,total_points_driver,average_col_acc
23782,636,0.04
23783,1555.5,0.01
23784,308,0.01
23785,458,0.04
23786,131,0.05
23787,1136.5,0.09
23788,116,0.11
23789,1022,0.04
23790,12,0
23791,418.5,0.04
23792,429,0.03
23793,185,0.07
23794,560,0.1
23795,136,0.08
23796,4,0.1
23797,47,0.11
23798,77,0.05
23799,309,0.06
23800,9,0.1
23801,1,0.05
23802,636,0.04
23803,1022,0.04
23804,1555.5,0.01
23805,309,0.06
23806,77,0.05
23807,116,0.11
23808,131,0.05
23809,12,0
23810,9,0.1
23811,185,0.07
23812,418.5,0.04
23813,560,0.1
23814,47,0.11
23815,136,0.08
23816,1,0.05
23817,429,0.03
23818,4,0.1
23819,308,0.01
23820,1136.5,0.09
23821,458,0.04
23822,458,0.04
23823,1022,0.04
23824,308,0.01
23825,1555.5,0.01
23826,1136.5,0.09
23827,116,0.11
23828,131,0.05
23829,636,0.04
23830,418.5,0.04
23831,77,0.05
23832,185,0.07
23833,429,0.03
23834,12,0
23835,136,0.08
23836,1,0.05
23837,9,0.1
23838,47,0.11
23839,309,0.06
23840,560,0.1
23841,4,0.1
23842,1555.5,0.01
23843,308,0.01
23844,429,0.03
23845,636,0.04
23846,418.5,0.04
23847,560,0.1
23848,131,0.05
23849,136,0.08
23850,12,0
23851,4,0.1
23852,9,0.1
23853,309,0.06
23854,77,0.05
23855,1022,0.04
23856,47,0.11
23857,1136.5,0.09
23858,458,0.04
23859,116,0.11
23860,185,0.07
23861,1,0.05
23862,1555.5,0.01
23863,1022,0.04
23864,1136.5,0.09
23865,636,0.04
23866,458,0.04
23867,77,0.05
23868,418.5,0.04
23869,131,0.05
23870,429,0.03
23871,560,0.1
23872,136,0.08
23873,4,0.1
23874,9,0.1
23875,1,0.05
23876,12,0
23877,185,0.07
23878,308,0.01
23879,47,0.11
23880,309,0.06
23881,116,0.11
23882,458,0.04
23883,636,0.04
23884,1555.5,0.01
23885,308,0.01
23886,1022,0.04
23887,185,0.07
23888,309,0.06
23889,116,0.11
23890,1136.5,0.09
23891,418.5,0.04
23892,9,0.1
23893,429,0.03
23894,77,0.05
23895,12,0
23896,47,0.11
23897,1,0.05
23898,136,0.08
23899,560,0.1
23900,4,0.1
23901,131,0.05
23902,636,0.04
23903,1022,0.04
23904,1136.5,0.09
23905,458,0.04
23906,1555.5,0.01
23907,308,0.01
23908,116,0.11
23909,418.5,0.04
23910,185,0.07
23911,560,0.1
23912,309,0.06
23913,47,0.11
23914,77,0.05
23915,429,0.03
23916,9,0.1
23917,12,0
23918,1,0.05
23919,131,0.05
23920,4,0.1
23921,136,0.08
23922,1555.5,0.01
23923,1136.5,0.09
23924,308,0.01
23925,458,0.04
23926,636,0.04
23927,77,0.05
23928,1022,0.04
23929,418.5,0.04
23930,116,0.11
23931,560,0.1
23932,47,0.11
23933,12,0
23934,9,0.1
23935,4,0.1
23936,1,0.05
23937,131,0.05
23938,136,0.08
23939,429,0.03
23940,185,0.07
23941,309,0.06
23942,1136.5,0.09
23943,308,0.01
23944,636,0.04
23945,47,0.11
23946,77,0.05
23947,185,0.07
23948,429,0.03
23949,131,0.05
23950,560,0.1
23951,9,0.1
23952,309,0.06
23953,418.5,0.04
23954,1,0.05
23955,136,0.08
23956,12,0
23957,1555.5,0.01
23958,4,0.1
23959,458,0.04
23960,1022,0.04
23961,116,0.11
23962,636,0.04
23963,1555.5,0.01
23964,308,0.01
23965,1022,0.04
23966,458,0.04
23967,116,0.11
23968,185,0.07
23969,131,0.05
23970,77,0.05
23971,429,0.03
23972,12,0
23973,136,0.08
23974,309,0.06
23975,1,0.05
23982,4,0.1
23977,1136.5,0.09
23978,47,0.11
23979,418.5,0.04
23980,9,0.1
23981,560,0.1
23983,1555.5,0.01
23984,1022,0.04
23985,308,0.01
23986,1136.5,0.09
23987,116,0.11
23988,47,0.11
23989,429,0.03
23990,185,0.07
