,constructorId,positionOrder,year,count
218,6,17,2018,2
298,10,16,2018,3
297,10,15,2018,1
119,4,8,2018,5
296,10,14,2018,2
295,10,13,2018,1
122,4,9,2018,3
294,10,12,2018,3
293,10,11,2018,3
125,4,10,2018,4
292,10,10,2018,4
291,10,9,2018,4
128,4,11,2018,2
290,10,8,2018,3
289,10,7,2018,5
131,4,12,2018,5
288,10,6,2018,4
133,4,13,2018,1
116,4,7,2018,4
287,10,5,2018,1
299,10,17,2018,1
113,4,6,2018,6
94,3,18,2018,2
314,15,20,2018,2
313,15,19,2018,3
98,3,19,2018,2
312,15,18,2018,5
311,15,16,2018,1
310,15,15,2018,5
309,15,13,2018,4
308,15,12,2018,2
307,15,11,2018,4
306,15,10,2018,6
305,15,9,2018,5
304,15,7,2018,4
303,15,6,2018,1
110,4,5,2018,2
302,10,20,2018,1
301,10,19,2018,3
300,10,18,2018,2
286,10,3,2018,1
282,9,20,2018,2
140,4,17,2018,2
249,9,6,2018,3
177,5,19,2018,5
179,5,20,2018,4
180,6,1,2018,6
182,6,2,2018,7
245,9,5,2018,5
241,9,4,2018,8
186,6,3,2018,11
237,9,3,2018,5
190,6,4,2018,6
233,9,2,2018,4
229,9,1,2018,4
194,6,5,2018,3
224,6,19,2018,1
198,6,6,2018,3
220,6,18,2018,2
436,210,13,2018,4
175,5,18,2018,2
173,5,17,2018,3
171,5,16,2018,1
169,5,15,2018,1
279,9,19,2018,2
142,4,18,2018,1
276,9,18,2018,1
145,4,19,2018,3
148,4,20,2018,4
272,9,17,2018,3
270,9,16,2018,3
152,5,4,2018,1
90,3,17,2018,6
153,5,6,2018,1
267,9,15,2018,1
158,5,9,2018,2
160,5,10,2018,3
162,5,11,2018,5
164,5,12,2018,4
258,9,9,2018,1
166,5,13,2018,4
167,5,14,2018,5
155,5,7,2018,1
86,3,16,2018,4
102,3,20,2018,3
447,210,16,2018,4
396,131,8,2018,1
33,1,12,2018,3
392,131,7,2018,1
36,1,13,2018,2
40,1,14,2018,5
387,131,5,2018,7
30,1,11,2018,3
43,1,15,2018,4
46,1,16,2018,4
379,131,3,2018,4
48,1,17,2018,1
49,1,18,2018,4
451,210,17,2018,3
52,1,19,2018,1
383,131,4,2018,5
375,131,2,2018,10
403,131,14,2018,1
443,210,15,2018,4
432,210,12,2018,1
430,210,11,2018,3
427,210,10,2018,3
8,1,5,2018,1
424,210,9,2018,3
422,210,8,2018,4
407,131,16,2018,1
420,210,7,2018,2
418,210,6,2018,3
417,210,5,2018,2
416,210,4,2018,1
19,1,8,2018,6
411,131,19,2018,1
23,1,9,2018,2
15,1,7,2018,4
56,1,20,2018,2
204,6,8,2018,1
455,210,18,2018,2
371,131,1,2018,11
72,3,12,2018,3
78,3,14,2018,8
82,3,15,2018,5
68,3,11,2018,1
65,3,10,2018,1
63,3,9,2018,1
76,3,13,2018,5
462,210,20,2018,3
61,3,8,2018,1
316,51,5,2019,1
433,210,12,2019,1
493,211,20,2019,2
478,211,9,2019,5
315,51,4,2019,1
332,51,13,2019,4
250,9,6,2019,7
221,6,18,2019,2
253,9,7,2019,1
414,131,20,2019,1
255,9,8,2019,3
440,210,14,2019,3
216,6,16,2019,1
491,211,19,2019,3
419,210,6,2019,1
335,51,14,2019,4
317,51,7,2019,3
421,210,7,2019,2
323,51,10,2019,3
226,6,20,2019,2
428,210,10,2019,2
320,51,9,2019,3
230,9,1,2019,3
425,210,9,2019,1
246,9,5,2019,7
431,210,11,2019,3
234,9,2,2019,2
329,51,12,2019,3
238,9,3,2019,4
219,6,17,2019,2
318,51,8,2019,2
242,9,4,2019,8
482,211,11,2019,3
423,210,8,2019,1
444,210,15,2019,4
338,51,15,2019,5
388,131,5,2019,2
472,211,6,2019,2
484,211,13,2019,5
283,9,20,2019,1
483,211,12,2019,6
384,131,4,2019,3
350,51,19,2019,2
469,211,4,2019,1
380,131,3,2019,6
463,210,20,2019,5
376,131,2,2019,11
459,210,19,2019,2
456,210,18,2019,4
452,210,17,2019,4
372,131,1,2019,15
448,210,16,2019,2
277,9,18,2019,1
326,51,11,2019,2
347,51,18,2019,4
260,9,10,2019,1
262,9,11,2019,1
405,131,15,2019,1
489,211,17,2019,2
212,6,13,2019,1
266,9,14,2019,2
399,131,9,2019,1
476,211,8,2019,2
341,51,16,2019,4
397,131,8,2019,1
474,211,7,2019,4
487,211,15,2019,1
393,131,7,2019,1
344,51,17,2019,1
273,9,17,2019,1
486,211,14,2019,2
488,211,16,2019,1
480,211,10,2019,3
437,210,13,2019,7
183,6,2,2019,7
123,4,9,2019,3
163,5,11,2019,4
12,1,6,2019,6
165,5,12,2019,4
168,5,14,2019,3
170,5,15,2019,4
120,4,8,2019,3
172,5,16,2019,1
73,3,12,2019,1
117,4,7,2019,4
174,5,17,2019,1
176,5,18,2019,1
178,5,19,2019,4
16,1,7,2019,3
181,6,1,2019,3
161,5,10,2019,6
69,3,11,2019,1
159,5,9,2019,6
157,5,8,2019,2
134,4,13,2019,3
138,4,15,2019,1
139,4,16,2019,1
132,4,12,2019,4
141,4,17,2019,1
143,4,18,2019,1
129,4,11,2019,2
146,4,19,2019,4
66,3,10,2019,1
149,4,20,2019,3
150,5,2,2019,1
151,5,3,2019,1
154,5,6,2019,1
126,4,10,2019,3
156,5,7,2019,3
87,3,16,2019,11
114,4,6,2019,3
136,4,14,2019,4
20,1,8,2019,7
34,1,12,2019,2
37,1,13,2019,1
199,6,6,2019,1
24,1,9,2019,2
99,3,19,2019,4
41,1,14,2019,1
91,3,17,2019,9
79,3,14,2019,2
195,6,5,2019,7
103,3,20,2019,2
83,3,15,2019,5
95,3,18,2019,6
31,1,11,2019,5
27,1,10,2019,2
50,1,18,2019,2
191,6,4,2019,7
3,1,3,2019,1
108,4,4,2019,1
53,1,19,2019,2
187,6,3,2019,9
111,4,5,2019,1
57,1,20,2019,5
9,1,5,2019,3
479,211,9,2020,3
327,51,11,2020,3
70,3,11,2020,4
84,3,15,2020,4
330,51,12,2020,3
342,51,16,2020,4
345,51,17,2020,4
473,211,6,2020,4
80,3,14,2020,4
333,51,13,2020,2
74,3,12,2020,2
477,211,8,2020,1
336,51,14,2020,6
10,1,5,2020,7
339,51,15,2020,5
475,211,7,2020,4
517,213,15,2020,2
321,51,9,2020,3
466,211,1,2020,1
521,213,18,2020,1
44,1,15,2020,1
21,1,8,2020,2
385,131,4,2020,1
449,210,16,2020,6
412,131,19,2020,1
389,131,5,2020,1
38,1,13,2020,4
394,131,7,2020,1
441,210,14,2020,1
398,131,8,2020,2
400,131,9,2020,1
401,131,11,2020,1
445,210,15,2020,3
28,1,10,2020,2
404,131,14,2020,1
381,131,3,2020,5
47,1,16,2020,1
377,131,2,2020,7
51,1,18,2020,1
471,211,5,2020,2
352,51,20,2020,1
470,211,4,2020,4
468,211,3,2020,2
467,211,2,2020,1
464,210,20,2020,2
522,213,19,2020,1
348,51,18,2020,1
13,1,6,2020,4
524,213,20,2020,3
457,210,18,2020,3
58,1,20,2020,1
17,1,7,2020,2
453,210,17,2020,7
373,131,1,2020,13
54,1,19,2020,1
460,210,19,2020,4
426,210,9,2020,1
106,4,2,2020,1
481,211,10,2020,3
508,213,10,2020,2
192,6,4,2020,3
231,9,1,2020,2
497,213,4,2020,1
235,9,2,2020,6
4,1,3,2020,1
188,6,3,2020,2
239,9,3,2020,5
495,213,1,2020,1
510,213,11,2020,5
184,6,2,2020,1
243,9,4,2020,2
494,211,20,2020,4
247,9,5,2020,2
324,51,10,2020,2
227,6,20,2020,4
492,211,19,2020,1
225,6,19,2020,1
499,213,5,2020,1
207,6,10,2020,5
503,213,7,2020,4
209,6,11,2020,2
438,210,13,2020,2
211,6,12,2020,3
505,213,8,2020,3
213,6,13,2020,4
214,6,14,2020,2
501,213,6,2020,2
202,6,7,2020,2
434,210,12,2020,4
506,213,9,2020,3
200,6,6,2020,2
1,1,2,2020,1
222,6,18,2020,1
196,6,5,2020,1
254,9,7,2020,1
251,9,6,2020,3
490,211,18,2020,2
